sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","pauperibus tectis","125 pauperibus tectis <Verg. Aen. 8,359> R-S  <Verg. Aen. 8,366-367> R-S Evandre reçoit Hercule
R-S p. 173 thème rebattu du pauvre paysan recevant une divinité ou un héros","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","Iamdudum","126 iamdudum <Verg. Aen. 8,153> R-S ?","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","te sine","129 te sine <Verg. Aen. 12,883> R-S ? anastrophe et rejet Juturne parle à son frère Turnus","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml"," magici","135 magici sacri <Verg. Aen. 4,493> R-S ","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","litora summa Oceani ","137-138 litora summa Oceani <Verg. Aen. 4,480-481> R-S","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","135","135-139 <Verg. Aen. 4,480-498> R-S Pour ces vers Stace s'inspire des rites inventés par Didon pour tromper la surveillance d'Anna sa soeur","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","nec me patria omina fallunt","147 nec me patria omina fallunt <Stat. Theb. 9,662> R-S Apollon parlant à Diane de ses propre oracles ","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","tenuesque supervenit annos","148 tenuesque supervenit annos <Verg. Aen. 9,311> R-S Ascagne <Stat. Theb. 11,34-35> R-S Alatrée <Stat. Theb. 6,756-757> R-S Alcidamas
Intertextualité verbale faible (Verg. 9 annos; Stat. 11 annos/; Stat. 6 /robur...annos/)","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","gelidus","158 gelidus pallor <Verg. Aen. 2,120> <Verg. Aen.6,54> <Verg. Aen.12,447> R-S","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml"," niveo ","161 niveo ignis in ore <Ov. met. 4,330-333> <Ov. met. 4,10,594-596> R-S qui rappellent que ""l'alliance de rouge et de blanc dans la description du teint des jeunes filles (ou des jeunes garçons d'allure efféminée) est de toute façon un trait topique de la poésie néo-alexandrine"", p. 178.","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml"," nova lanugine","163  prima nova lanugine <Verg. Aen. 10,324> <Ov. met. 9,398> <Ov. met. 12,291> R-S avec variation du mot déterminé par prima","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","par","176 <Verg. Aen. 11,291-292> R-S même structure dans une synkrisis (2 éléments d'égalité suivis d'une inégalité)","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","anhelo","180-181 anhelo equo <Verg. Aen. 5,739> R-S","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","fessum","181 fessum <Stat. Theb. 2,36> R-S pour une étoile","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml"," canit ille","188 canit ille <Verg. Aen. 1,741> R-S motif du chant aédique cf. tout le passage 1,739-745 notamment pour la réf. au soleil plongeant dans l'Océan v. 744.","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","novercae","189 novercae <Verg. Aen. 8,288> R-S pour Junon par rapport à Hercule","Lavinia Milic","11 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","viri","3 viri ... cantu <Verg. Aen. 1,1> virumque cano T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tempora vittis.","11 tempora vittis <Verg. Aen. 2,133> tempora vittae T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","dolet","16 dolet ... vinci <Verg. Aen. 4,434> victam ... dolere T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","vana parentum","25 vana parentum <Verg. Aen. 1,392> vani ... parentes T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","turba comitante","27 turba comitante <Verg. Aen. 2,580> turba ... comitata T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","petit","31 petit ... classis <Verg. Aen. 4,313> peteretur classibus T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","pelago terrisque","37 pelago terrisque <Verg. Aen. 10,378> terra ... pelagus T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","volet ipse sequi","38 volet ipse sequi <Verg. Aen. 6,146> ipse volens ... sequetur T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","O magni","61 o magni ... rectorque <Verg. Aen. 8,572> o ... maxume rector T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","hospita portans","66 hospita portans <Verg. Aen. 3,539> hospita portas T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","terris caeloque","68 terris caeloque <Verg. Aen. 1,133> caelum terramque T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","gemitus","68 gemitus ... daturus <Verg. Aen. 2,53> gemitumque dedere T ","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","sic Phrygiae","69 sic Phrygiae <Verg. Aen. 7,363> sic Phrygius T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","obrue puppes,","72 obrue puppes <Verg. Aen. 1,69> obrue puppes T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml"," laniata genas","77 laniata genas <Verg. Aen. 12,606> laniata genas T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","dictisque ita mulcet amicis","79 dictisque ita ... amicis <Verg. Aen. 2,147> dictisque ita ... amicis T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","dictisque","79 dictisque ... mulcet <Verg. Aen. 5,464> mulcens dictis T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","pete","80 pete ... classem <Verg. Aen. 4,313> peteretur classibus T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","fata vetant","81 fata vetant <Verg. Aen. 8,398> fata vetabant T ","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","Europamque Asiamque","82 Europamque Asiamque <Verg. Aen. 1,385> Europa atque Asia <Verg. Aen. 1,385> Europae atque Asiae <Verg. Aen. 10,91> Europamque Asiamque T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","aspicies","85 aspicies ... matrum <Verg. Aen. 2,786> aspiciam ... matribus T [epic imagery, similar context, but perhaps no allusion; NB Phrygiarum ~ Graiis]","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","Phrygiarum","85 Phrygiarum ... matrum <Verg. Aen. 7,139> Phrygiamque ... matrem","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","dirum ","94 dirum ... Ulixen <Verg. Aen. 2,261> dirus Ulixes <Verg. Aen. 2,762> dirus Ulixes T (formulaic epithet)","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","vultum demissa","95 vultum demissa <Verg. Aen. 1,561> voltum demissa T <Verg. Aen. 3,320> vultum ... demissa T ","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","bellare parabat","96 bellare parabat <Verg. Aen. 8,400> bellare paras T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","patrio","2 patrio ... caelo <Stat. Theb. 8,514> patriam caelumque [Heracles has a home in heaven, but not Achilles]","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","necte comas","10 necte comas <Stat. Theb. 7,170> nectere ... comas T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","scit Dircaeus","12 scit Dircaeus <Stat. Theb. 6,907> scitis Dircaeus T [right, but for the wrong reason: should be Dircaeus ager ~ Dircaeus ... / campus]","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <Stat. Theb. 5,620> praesagia somni T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","agnosco monitus","32 agnosco monitus <Stat. Theb. 1,492> agnoscens monitusque T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","monitus","33 monitus ... vera <Stat. Theb. 8,333> vera monentibus T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Aegaeumque premi","35 Aegaeumque premi <Stat. Theb. 5,49> Aegaeo premitur T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","proelia ludit","40 proelia ludit <Stat. Theb. 9,786> proelia lude T ","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","pelagique deos","48 pelagique deos <Stat. Theb. 5,288> dis pelagi T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","patrem","50 patrem ... rogabo <Stat. Theb. 3,710> pater ... rogabo T ","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","patrem supplex","50 patrem supplex <Stat. Theb. 7,154> patrem supplexque T ","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","gemitus","68 gemitus ... daturus <Stat. Theb. 6,107> dat gemitum T <Stat. Theb. 6,527> dat gemitum T [epic/statian language, no allusion?; NB Tesserae didn't get terris ~ tellus]","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.317.xml","terris caeloque","68 terris caeloque <Stat. Theb. 11,692> caelum terramque T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","dictisque","79 dictisque ... mulcet <Stat. Theb. 1,478> mulcentem dictis <Stat. Theb. 3,178> dictis mulcebat T [epic/statian language, no allusion, but perhaps an echo of 1,79 ~ Theb. 3,294?]","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.319.xml","dictisque ita mulcet amicis","79 dictisque ita mulcet amicis <Stat. Theb. 3,294> dictisque ita mulcet amicis T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","demissus","124 demissus ... armos <Stat. Theb. 9,693> demiserat armos T ? ","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","saepe ipsa","133 saepe ipsa ... natum <Stat. Theb. 1,70> saepe natosque ... ipsa T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","iterum","134 iterum ... mergere <Stat. Theb. 9,363> mergitur ... iterum T [similar context ?]","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","placandaque multum","145 placandaque multum <Stat. Theb. 4,613> multum placata T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","avideque audire","149 avideque audire <Stat. Theb. 6,365> avidas audire T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml"," campis","154 campis ... fugari <Stat. Theb. 2,675> campis ... fugato T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","bella","155 bella ... minantur <Stat. Theb. 12,683> bella ... bellumque minatur T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml"," sudore","159 sudore ... pulvere <Stat. Theb. 10,37> pulvis sudorque T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","iubar excitat","181 iubar excitat <Stat. Theb. 10,136> iubar excitat T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","senex","182 senex ... mulcens <Stat. Theb. 11,196> senior mulcere T [epic imagery?]","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","solantia curas","186 solantia curas <Stat. Theb. 9,603> solantia curas T","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","fatigat","104 fatigat <Verg. Aen. 8,94> olli remigio noctemque diemque fatigant D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml"," fatigat","104 fatigat <Stat. Ach. 1,217> fatigat D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml"," longo suspendit Pelion arcu","107 longo suspendit Pelion arcu <Stat. Theb. 10,83> longo suspenditur arcu D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","pars exhausta manu, partem sua ruperat aetas","108 <Ov. met. 11,235-236> est specus in medio natura factus an arte ambiguum, magis arte tamen D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","exhausta","108 exhausta <Ov. met. 11,187> terrae ... immurmurat haustae D","Chris Forstall","15 Mar 2015"
